DATAFLOW,AREA_REF,FREQ,INDICADOR,SEXO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,DECIMALS,CISE,UNIDAD,MULT
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2016,3088.361,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2017,3311.299,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2017,4782.213,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2017,3564.943,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2017,3461.468,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2017,5478.187,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2017,3718.342,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2017,3027.887,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2017,4194.371,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2017,3314.77,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2018,3569.61,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2018,4969.697,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2018,3816.732,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2018,3761.857,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2018,5507.416,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2018,3989.932,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2018,3217.752,,0,CISE_1A,CLPHR,0
