DATAFLOW,AREA_REF,FREQ,INDICADOR,SEXO,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIDAD,MULT
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,_T,2016,5.2707750894384695,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,M,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,F,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,_T,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,M,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,F,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,_T,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,M,2016,6.939322109670547,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,F,2016,0.21950253701032277,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,_X,2016,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,_T,2016,4.27094968735559,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,M,2017,12.16599280584294,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,_T,2017,7.449890176202323,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,M,2017,8.65602576610337,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,_T,2017,5.813513390761993,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,M,2017,24.932008335601473,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,_T,2017,16.441734603000626,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,M,2017,5.128890076131964,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,_T,2017,2.995183370741926,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,M,2017,11.103067413805276,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,F,2017,0.5781210103628214,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,_T,2017,6.909843244447797,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,M,2017,9.63558006765556,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,F,2017,1.1076445937713462,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,_T,2017,6.367358374031365,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,M,2017,11.810736422574283,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,F,2017,1.091404191537798,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,_T,2017,7.6413030827351704,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,M,2017,11.29151395678173,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,F,2017,1.7536868831041108,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,_T,2017,7.555733552017135,1,RT,0
